
 INFO Server running on [http://127.0.0.1:8001]. 

 Press Ctrl+C to stop the server
 2026-08-27 16:36:19 /settings/appearance .. ~ 0.05ms
 2026-08-27 16:36:19 /build/assets/appearance-CczfxS0j.js .. ~ 0.43ms
 2026-08-27 16:36:19 /build/assets/appearance-CczfxS0j.js .. ~ 0.16ms
 2026-08-27 16:36:21 /admin/activity-logs .. ~ 0.11ms
 2026-08-27 16:36:22 /trials/need-revision .. ~ 1s
 2026-08-27 16:36:23 /trials/rejected .. ~ 0.02ms
 2026-08-27 16:36:26 /trials/draft .. ~ 515.10ms
 2026-08-27 16:36:26 /trials/in-review .. ~ 0.02ms
 2026-08-27 16:36:26 /trials/create .. ~ 0.01ms
 2026-08-27 16:36:26 /dashboard .. ~ 514.93ms
 2026-08-27 16:36:28 /build/assets/check-DQIbH2Rg.js .. ~ 0.21ms
 2026-08-27 16:36:28 /build/assets/form-BDNJuYX5.js .. ~ 0.69ms
 2026-08-27 16:36:28 /build/assets/select-CwsgyXSb.js .. ~ 0.98ms
 2026-08-27 16:36:28 /build/assets/textarea-BJHHUHyE.js .. ~ 1.27ms
 2026-08-27 16:36:28 /build/assets/combobox-G-vG2vhK.js .. ~ 1.57ms
 2026-08-27 16:36:28 /build/assets/trial-wizard-steps-Da1FNROi.js .. ~ 1.84ms
 2026-08-27 16:36:20 /build/assets/check-DQIbH2Rg.js .. ~ 8s
 2026-08-27 16:36:29 /build/assets/select-CwsgyXSb.js .. ~ 0.21ms
 2026-08-27 16:36:29 /build/assets/form-BDNJuYX5.js .. ~ 0.51ms
 2026-08-27 16:36:29 /build/assets/textarea-BJHHUHyE.js .. ~ 0.67ms
 2026-08-27 16:36:29 /build/assets/trial-wizard-steps-Da1FNROi.js .. ~ 1.12ms
 2026-08-27 16:36:29 /build/assets/combobox-G-vG2vhK.js .. ~ 1.38ms
 2026-08-27 16:36:29 /build/assets/trials-D5a-vSc7.js .. ~ 0.13ms
 2026-08-27 16:36:29 /build/assets/trials-D5a-vSc7.js .. ~ 0.41ms
 2026-08-27 16:36:30 /trials/waiting-approval .. ~ 5s
 2026-08-27 16:36:35 /approvals .. ~ 0.10ms
 2026-08-27 16:36:36 /trials/approved .. ~ 0.04ms
 2026-08-27 16:36:36 /admin/users .. ~ 7s
 2026-08-27 16:36:44 /admin/access-rights .. ~ 0.12ms
 2026-08-27 16:36:44 /build/assets/confirm-dialog-SnmKtXtr.js .. ~ 0.14ms
 2026-08-27 16:36:44 /build/assets/access-rights-C6_NJaPo.js .. ~ 0.51ms
 2026-08-27 16:36:44 /build/assets/confirm-dialog-SnmKtXtr.js .. ~ 0.04ms
 2026-08-27 16:36:44 /build/assets/access-rights-C6_NJaPo.js .. ~ 0.33ms
 2026-08-27 16:36:44 /admin/products .. ~ 8s
 2026-08-27 16:36:53 /build/assets/products-DXcWrAws.js .. ~ 0.13ms
 2026-08-27 16:36:45 /build/assets/products-DXcWrAws.js .. ~ 8s
 2026-08-27 16:36:53 /admin/parameters .. ~ 0.13ms
 2026-08-27 16:36:53 /build/assets/parameters-ztM766IV.js .. ~ 512.99ms
